Syntax version=4
Thu Apr 23 10:47:48 2026
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		particles_03	particles_05	particles_10	particles_100	particles_25	particles_50	baseline
D:	time(ms)	(0x200004a4,4)	(0x200004a8,4)	(0x200004ac,4)	(0x200004b0,4)	(0x200004b4,4)	(0x200004b8,4)	(0x20000070,6)
D:	173.55	0	0	0	0	0	0	9.171854
D:	174.46	0	0	0	0	0	0	9.314589
D:	175.34	0	0	0	0	0	0	9.270905
D:	176.19	0	0	0	0	0	0	9.297170
D:	177.00	0	0	0	0	0	0	9.281829
D:	177.86	0	0	0	0	0	0	9.305387
D:	178.67	0	0	0	0	0	0	9.473217
D:	179.46	0	0	0	0	0	0	9.530988
D:	180.34	0	0	0	0	0	0	9.540615
D:	181.20	0	0	0	0	0	0	9.397104
D:	182.03	0	0	0	0	0	0	9.250996
D:	182.86	0	0	0	0	0	0	9.122115
D:	183.72	0	0	0	0	0	0	9.174265
D:	184.64	0	0	0	0	0	0	9.120924
D:	185.59	0	0	0	0	0	0	9.128006
D:	186.42	0	0	0	0	0	0	9.035378
D:	187.41	0	0	0	0	0	0	9.102573
D:	188.50	0	0	0	0	0	0	9.231240
D:	189.40	0	0	0	0	0	0	9.087888
D:	190.29	0	0	0	0	0	0	9.148577
D:	191.22	0	0	0	0	0	0	9.059393
D:	192.14	0	0	0	0	0	0	9.013304
D:	193.00	0	0	0	0	0	0	8.977422
D:	193.95	0	0	0	0	0	0	9.111067
D:	194.86	0	0	0	0	0	0	9.095108
D:	195.88	0	0	0	0	0	0	9.170279
D:	196.88	0	0	0	0	0	0	9.299185
D:	197.74	0	0	0	0	0	0	9.193452
D:	198.65	0	0	0	0	0	0	9.305848
D:	199.50	0	0	0	0	0	0	9.190284
D:	200.38	0	0	0	0	0	0	9.262265
D:	201.24	0	0	0	0	0	0	9.195768
D:	202.08	0	0	0	0	0	0	9.210781
D:	203.13	0	0	0	0	0	0	9.017294
D:	204.17	0	0	0	0	0	0	9.056129
D:	205.10	0	0	0	0	0	0	9.054014
D:	206.03	0	0	0	0	0	0	8.857390
D:	206.93	0	0	0	0	0	0	8.877262
D:	207.86	0	0	0	0	0	0	8.825056
D:	208.73	0	0	0	0	0	0	9.008409
D:	209.62	0	0	0	0	0	0	9.267285
D:	210.52	0	0	0	0	0	0	9.429076
D:	211.37	0	0	0	0	0	0	9.285809
D:	212.24	0	0	0	0	0	0	9.215001
D:	213.11	0	0	0	0	0	0	9.134867
D:	214.02	0	0	0	0	0	0	9.185461
D:	214.93	0	0	0	0	0	0	9.095039
D:	215.77	0	0	0	0	0	0	8.955476
D:	216.62	0	0	0	0	0	0	8.974091
D:	217.47	0	0	0	0	0	0	8.874001
D:	218.38	0	0	0	0	0	0	9.169795
D:	219.24	0	0	0	0	0	0	9.546163
D:	220.03	0	0	0	0	0	0	9.845154
D:	220.86	0	0	0	0	0	0	9.791934
D:	221.66	0	0	0	0	0	0	9.707244
D:	222.45	0	0	0	0	0	0	9.556070
D:	223.25	0	0	0	0	0	0	9.445012
D:	224.16	0	0	0	0	0	0	9.446682
D:	224.99	0	0	0	0	0	0	9.280521
D:	225.87	0	0	0	0	0	0	9.234613
D:	226.70	0	0	0	0	0	0	9.233289
D:	227.48	0	0	0	0	0	0	9.226720
D:	228.33	0	0	0	0	0	0	9.483579
D:	229.18	0	0	0	0	0	0	9.588536
D:	230.02	0	0	0	0	0	0	9.622155
D:	230.86	0	0	0	0	0	0	9.573234
D:	231.88	0	0	0	0	0	0	9.484381
D:	232.74	0	0	0	0	0	0	9.238161
D:	233.60	0	0	0	0	0	0	9.249030
D:	234.39	0	0	0	0	0	0	9.110234
D:	235.24	0	0	0	0	0	0	9.153878
D:	236.08	0	0	0	0	0	0	9.323997
D:	236.86	0	0	0	0	0	0	9.384994
D:	237.67	0	0	0	0	0	0	9.450226
D:	238.47	0	0	0	0	0	0	9.412894
D:	239.35	0	0	0	0	0	0	9.672216
D:	240.18	0	0	0	0	0	0	9.532387
D:	240.98	0	0	0	0	0	0	9.467408
D:	241.77	0	0	0	0	0	0	9.264886
D:	242.56	0	0	0	0	0	0	9.179479
D:	243.36	0	0	0	0	0	0	9.160534
D:	244.21	0	0	0	0	0	0	9.254716
D:	245.02	0	0	0	0	0	0	9.168672
D:	245.86	0	0	0	0	0	0	9.105804
D:	246.67	0	0	0	0	0	0	9.205789
D:	247.50	0	0	0	0	0	0	9.094282
D:	248.37	0	0	0	0	0	0	9.197842
D:	249.23	0	0	0	0	0	0	9.214709
D:	250.05	0	0	0	0	0	0	9.329344
D:	250.93	0	0	0	0	0	0	9.248463
D:	251.86	0	0	0	0	0	0	9.271014
D:	252.71	0	0	0	0	0	0	9.192340
D:	253.55	0	0	0	0	0	0	9.212522
D:	254.61	0	0	0	0	0	0	9.421417
D:	255.46	0	0	0	0	0	0	9.234813
D:	256.36	0	0	0	0	0	0	9.245937
D:	257.23	0	0	0	0	0	0	9.090672
D:	258.07	0	0	0	0	0	0	9.094891
D:	258.93	0	0	0	0	0	0	9.061689
D:	259.86	0	0	0	0	0	0	9.302881
D:	260.73	0	0	0	0	0	0	9.172340
D:	261.63	0	0	0	0	0	0	9.121490
D:	262.49	0	0	0	0	0	0	9.094739
D:	263.38	0	0	0	0	0	0	9.151910
D:	264.24	0	0	0	0	0	0	9.024241
D:	265.14	0	0	0	0	0	0	8.950821
D:	266.01	0	0	0	0	0	0	8.943753
D:	266.98	0	0	0	0	0	0	9.007517
D:	267.86	0	0	0	0	0	0	8.942576
D:	268.70	0	0	0	0	0	0	9.127153
